@T,table,
@H,timestamp,val_4
val,  ,4
,2011-01-01 00:00,-9999
,2011-01-01 00:30,-9999
,2011-01-01 01:00,-9999
,2011-01-01 01:30,-9999
,2011-01-01 02:00,-9999
,2011-01-01 02:30,-9999
,2011-01-01 03:00,-9999
,2011-01-01 03:30,-9999
,2011-01-01 04:00,-9999
,2011-01-01 04:30,-9999
,2011-01-01 05:00,-9999
,2011-01-01 05:30,-9999
,2011-01-01 06:00,-9999
,2011-01-01 06:30,-9999
,2011-01-01 07:00,-9999
,2011-01-01 07:30,-9999
,2011-01-01 08:00,-9999
,2011-01-01 08:30,-9999
,2011-01-01 09:00,-9999
,2011-01-01 09:30,-9999
,2011-01-01 10:00,-9999
,2011-01-01 10:30,-9999
,2011-01-01 11:00,-9999
,2011-01-01 11:30,-9999
,2011-01-01 12:00,-9999
,2011-01-01 12:30,-9999
,2011-01-01 13:00,-9999
,2011-01-01 13:30,-9999
,2011-01-01 14:00,-9999
,2011-01-01 14:30,-9999
,2011-01-01 15:00,-9999
,2011-01-01 15:30,-9999
,2011-01-01 16:00,-9999
,2011-01-01 16:30,-9999
,2011-01-01 17:00,-9999
,2011-01-01 17:30,-9999
,2011-01-01 18:00,-9999
,2011-01-01 18:30,-9999
,2011-01-01 19:00,-9999
,2011-01-01 19:30,-9999
,2011-01-01 20:00,-9999
,2011-01-01 20:30,-9999
,2011-01-01 21:00,-9999
,2011-01-01 21:30,-9999
,2011-01-01 22:00,-9999
,2011-01-01 22:30,-9999
,2011-01-01 23:00,-9999
,2011-01-01 23:30,-9999
